Name,Price,URL
CH341T,17.6,https://item.taobao.com/item.htm?id=41323941056
CH9340C,8.3,https://item.taobao.com/item.htm?id=41323941056
CH9102,9.9,https://item.taobao.com/item.htm?id=41323941056
FT232BL,17.6,https://item.taobao.com/item.htm?id=41323941056
CP2102,44.2,https://item.taobao.com/item.htm?id=41323941056
FT232H,34.6,https://item.taobao.com/item.htm?id=666590178342
CH347T,29.0,https://item.taobao.com/item.htm?id=692899546237
CH340C,15.1,""
CH382L,128.0,https://item.jd.com/100015917154.html
FT232R,,
